# ORT reference, 276 tensors matching 'nonlin_attention'
# tokens=[[28, 120, 18, 74, 26, 32]] prompt=[[120, 54, 122, 24, 3, 24]] frames=57 speed=1.0
# op                 shape                       min          max         mean  name
  Gather             [1]                         432          432          432  /text_encoder/0/layers.1/nonlin_attention/Gather_2_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_1_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_2_output_0
  Add                [1]                         434          434          434  /text_encoder/0/layers.1/nonlin_attention/Add_output_0
  Concat             [3]                           1          144      52.6667  /text_encoder/0/layers.1/nonlin_attention/Concat_output_0
  Div                [1]                         144          144          144  /text_encoder/0/layers.1/nonlin_attention/Div_output_0
  Mul                [1]                         144          144          144  /text_encoder/0/layers.1/nonlin_attention/Mul_output_0
  Mul                [1]                         288          288          288  /text_encoder/0/layers.1/nonlin_attention/Mul_1_output_0
  Mul                [1]                         432          432          432  /text_encoder/0/layers.1/nonlin_attention/Mul_2_output_0
  Shape              [4]                           1           13            7  /text_encoder/0/layers.1/nonlin_attention/Shape_5_output_0
  Slice              [13, 1, 144]           -5.66545      5.33443  -0.00834878  /text_encoder/0/layers.1/nonlin_attention/Slice_output_0
  Slice              [13, 1, 144]            -6.3375      5.73332  -0.00629047  /text_encoder/0/layers.1/nonlin_attention/Slice_1_output_0
  Slice              [13, 1, 144]           -5.30771      6.98931    -0.036661  /text_encoder/0/layers.1/nonlin_attention/Slice_2_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.1/nonlin_attention/Gather_5_output_0
  Tanh               [13, 1, 144]          -0.999976     0.999953  -0.00766117  /text_encoder/0/layers.1/nonlin_attention/tanh/Tanh_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_5_output_0
  Unsqueeze          [13, 1, 144, 1]       -0.999976     0.999953  -0.00766117  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_output_0
  Reshape            [13, 1, 144]          -0.999976     0.999953  -0.00766117  /text_encoder/0/layers.1/nonlin_attention/Reshape_output_0
  Mul                [13, 1, 144]            -5.4977      5.86759    0.0247845  /text_encoder/0/layers.1/nonlin_attention/Mul_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.1/nonlin_attention/Shape_3_output_0
  Shape              [3]                           1          144      52.6667  /text_encoder/0/layers.1/nonlin_attention/Shape_4_output_0
  Gather             []                           13           13           13  /text_encoder/0/layers.1/nonlin_attention/Gather_3_output_0
  Gather             []                            1            1            1  /text_encoder/0/layers.1/nonlin_attention/Gather_4_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_3_output_0
  Unsqueeze          [1]                          13           13           13  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_6_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_4_output_0
  Unsqueeze          [1]                           1            1            1  /text_encoder/0/layers.1/nonlin_attention/Unsqueeze_7_output_0
  Concat             [4]                          -1           13          3.5  /text_encoder/0/layers.1/nonlin_attention/Concat_1_output_0
  Concat             [3]                          -1           13      4.33333  /text_encoder/0/layers.1/nonlin_attention/Concat_2_output_0
  Reshape            [13, 1, 1, 144]         -5.4977      5.86759    0.0247845  /text_encoder/0/layers.1/nonlin_attention/Reshape_1_output_0
  Transpose          [1, 1, 13, 144]         -5.4977      5.86759    0.0247845  /text_encoder/0/layers.1/nonlin_attention/Transpose_output_0
  MatMul             [1, 1, 13, 144]        -5.45437      4.74232    0.0216862  /text_encoder/0/layers.1/nonlin_attention/MatMul_output_0
  Transpose          [13, 1, 1, 144]        -5.45437      4.74232    0.0216862  /text_encoder/0/layers.1/nonlin_attention/Transpose_1_output_0
  Reshape            [13, 1, 144]           -5.45437      4.74232    0.0216862  /text_encoder/0/layers.1/nonlin_attention/Reshape_2_output_0
  Mul                [13, 1, 144]           -15.5544      11.8625   -0.0490147  /text_encoder/0/layers.1/nonlin_attention/Mul_4_output_0
  DynamicQuantizeLinear [13, 1, 144]                  0          255      144.549  /text_encoder/0/layers.1/nonlin_attention/Mul_4_output_0_quantized
  DynamicQuantizeLinear []                     0.107517     0.107517     0.107517  /text_encoder/0/layers.1/nonlin_attention/Mul_4_output_0_scale
  DynamicQuantizeLinear []                          145          145          145  /text_encoder/0/layers.1/nonlin_attention/Mul_4_output_0_zero_point
  Mul                []                  4.05645e-05  4.05645e-05  4.05645e-05  /text_encoder/0/layers.1/nonlin_attention/out_proj/MatMul_quant_scales_mul:0
  MatMulInteger      [13, 1, 192]             -27702        30950     -164.004  /text_encoder/0/layers.1/nonlin_attention/out_proj/MatMul_output_0_output_quantized
  Cast               [13, 1, 192]             -27702        30950     -164.004  /text_encoder/0/layers.1/nonlin_attention/out_proj/MatMul_output_0_output_quantized_cast_output
  Mul                [13, 1, 192]           -1.12372      1.25547  -0.00665274  /text_encoder/0/layers.1/nonlin_attention/out_proj/MatMul_output_0
  Add                [13, 1, 192]           -1.13253      1.25075  -0.00670641  /text_encoder/0/layers.1/nonlin_attention/out_proj/Add_output_0
  Mul                []                  0.000240901  0.000240901  0.000240901  /text_encoder/0/layers.2/nonlin_attention/in_proj/MatMul_quant_scales_mul:0
